PLAYER,TEAM,G,FPTS,SNAPS,TGT,REC,CATCH RATE,REC YDS,YPR,REC TD
"Jashaun Corbin","New York Giants",6,4.3,84,3,3,1,12,4,0
"Deon Jackson","",2,4,53,6,5,0.833,14,2.8,0
"Leonard Fournette","",2,4,26,0,0,0,0,0,0
"Elijah Dotson","Los Angeles Chargers",4,3.9,15,2,2,1,13,6.5,0
"Jake Funk","Detroit Lions",2,3.2,14,1,1,1,12,12,0
"Zonovan Knight","Detroit Lions",2,3.1,18,1,1,1,8,8,0
"Kenyan Drake","",3,3.1,16,3,2,0.667,31,15.5,0
"Derrick Gore","",6,2.6,64,0,0,0,0,0,0
"Adam Prentice","New Orleans Saints",13,2.4,187,3,2,0.667,12,6,0
"Devine Ozigbo","",3,2.3,13,1,1,1,8,8,0
"Chris Evans","Cincinnati Bengals",8,2.1,92,1,1,1,-1,-1,0
"Zach Evans","Los Angeles Rams",8,1.9,42,0,0,0,0,0,0
"Kene Nwangwu","Minnesota Vikings",8,1.3,55,0,0,0,0,0,0
"Jonathan Ward","Pittsburgh Steelers",8,1.1,46,0,0,0,0,0,0
"Jason Cabinda","",4,0,75,0,0,0,0,0,0
"Jonathan Williams","",1,-0.2,21,1,0,0,0,0,0
